code,time,price,vol,type,order_type,order_no
000584,93355920,6.41,3,2,1,730768
000584,93356880,6.4,5,2,2,732386
000584,93357090,6.41,3,2,1,732740
000584,93357090,6.41,3,2,1,732742
000584,93357090,6.41,6,2,1,732744
000584,93357100,6.41,6,2,1,732755
000584,93357190,6.41,3,2,1,732937
000584,93357260,6.41,3,2,1,733101
000584,93357260,6.41,2,2,1,733103
000584,93357270,6.41,10,2,1,733132
000584,93357290,6.41,31,2,1,733213
000584,93357320,6.41,1,2,1,733288
000584,93357320,6.41,2,2,1,733290
000584,93357320,6.41,2,2,1,733292
000584,93357330,6.41,2,2,1,733302
000584,93357330,6.41,3,2,1,733310
000584,93357360,6.41,2,2,1,733361
000584,93357410,6.41,1,2,1,733443
000584,93357430,6.41,1,2,1,733500
000584,93357480,6.39,1,2,1,733612
000584,93357480,6.39,1,2,1,733613
000584,93357600,6.39,4,2,2,733896
000584,93358370,6.41,1,2,1,735436
000584,93358450,6.78,32,2,2,735570
000584,93358720,6.41,30,2,1,736068
000584,93358920,6.5,50,2,2,736424
000584,93359280,6.41,1,2,1,736923
000584,93400170,6.41,5,2,1,738537
000584,93400170,6.41,1,2,1,738544
000584,93400170,6.41,1,2,1,738546
000584,93400190,6.41,4,2,1,738592
000584,93400200,6.41,4,2,1,738606
000584,93400200,6.41,1,2,1,738608
000584,93400210,6.41,1,2,1,738630
000584,93400210,6.41,2,2,1,738633
000584,93400210,6.41,7,2,1,738649
000584,93400220,6.41,1,2,1,738652
000584,93400230,6.41,4,2,1,738696
000584,93400250,6.41,2,2,1,738732
000584,93400260,6.41,2,2,1,738747
000584,93400320,6.41,2,2,1,738897
000584,93400330,6.41,10,2,1,738909
000584,93400390,6.41,8,2,1,739049
000584,93400420,6.41,1,2,1,739123
000584,93400470,6.41,5,2,1,739210
000584,93400510,6.41,5,2,1,739259
000584,93400560,6.41,6,2,1,739451
000584,93400620,6.41,4,2,1,739655
000584,93400720,6.41,1,2,1,739907
000584,93401090,6.35,5,2,1,740702
000584,93401780,6.4,36,2,2,741969
000584,93403350,6.41,4,2,1,744680
000584,93403360,6.41,18,2,2,744702
000584,93403380,6.41,1,2,1,744730
000584,93403380,6.41,1,2,1,744731
000584,93403520,6.42,6,2,1,745019
000584,93404740,6.41,15,2,1,747228
000584,93406140,6.41,2,2,1,749894
000584,93406190,6.41,2,2,1,750020
000584,93406220,6.41,4,2,1,750107
000584,93406330,6.42,5,2,2,750329
000584,93408400,6.41,1,2,1,753910
000584,93409210,6.98,11,2,2,755134
000584,93410750,6.46,10,2,2,758317
000584,93410750,6.39,1,2,1,758318
000584,93411850,6.41,3,2,1,759899
000584,93412280,6.37,5,2,1,760602
000584,93412470,6.42,176,2,1,761007
000584,93415260,6.42,5,2,1,765818
000584,93415270,6.42,15,2,2,765828
000584,93415330,6.42,1,2,1,765977
000584,93416850,6.99,30,2,2,769151
000584,93417080,6.42,20,2,1,769463
000584,93417610,6.55,24,2,2,770419
000584,93420760,6.43,143,2,1,776118
000584,93421160,6.43,3,2,1,776657
000584,93421230,6.43,1,2,1,776755
000584,93421350,6.43,1,2,1,777011
000584,93421440,6.43,11,2,1,777179
000584,93421590,6.42,2,2,2,777509
000584,93424780,6.41,6,2,1,782768
